date,country_code,country_name,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index
2022-02-22,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-02-23,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-02-24,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-02-25,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-02-26,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-02-27,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-02-28,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-01,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-02,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-03,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-04,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-05,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-06,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-07,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-08,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-09,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-10,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-11,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-12,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-13,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-14,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-15,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
2022-03-16,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,4.0,43.52
